pid,order,file_name,label,_date,object_type,source,thumbnail,full
gbby-45g001,0,gbby-45g001.jpg,GBBY 45G/001: Football Coach Hunk Anderson with Players - c1931-1933,1931-1933,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g001.jpg,/img/derivatives/simple/gbby-45g001/thumbnail.jpg,/img/derivatives/simple/gbby-45g001/fullwidth.jpg
gbby-45g002,1,gbby-45g002.jpg,GBBY 45G/002: Football Coach Hunk Anderson with Family - c1931-1933,1931-1933,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g002.jpg,/img/derivatives/simple/gbby-45g002/thumbnail.jpg,/img/derivatives/simple/gbby-45g002/fullwidth.jpg
gbby-45g003,2,gbby-45g003.jpg,GBBY 45G/003: Harry Becker: Football Player - c1933-1935,1933-1935,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g003.jpg,/img/derivatives/simple/gbby-45g003/thumbnail.jpg,/img/derivatives/simple/gbby-45g003/fullwidth.jpg
gbby-45g004,3,gbby-45g004.jpg,GBBY 45G/004: Reyman (Bud) Bonar: Football Player - c1933-1934,1933-1934,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g004.jpg,/img/derivatives/simple/gbby-45g004/thumbnail.jpg,/img/derivatives/simple/gbby-45g004/fullwidth.jpg
gbby-45g005,4,gbby-45g005.jpg,GBBY 45G/005: Reyman (Bud) Bonar: Football Player - c1933-1934,1933-1934,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g005.jpg,/img/derivatives/simple/gbby-45g005/thumbnail.jpg,/img/derivatives/simple/gbby-45g005/fullwidth.jpg
gbby-45g006,5,gbby-45g006.jpg,GBBY 45G/006: William (Bill) Bruno: Football Player - c1934-1936,1934-1936,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g006.jpg,/img/derivatives/simple/gbby-45g006/thumbnail.jpg,/img/derivatives/simple/gbby-45g006/fullwidth.jpg
gbby-45g007,6,gbby-45g007.jpg,GBBY 45G/007: George Caldwell: Football Player - c1932-1934,1932-1934,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g007.jpg,/img/derivatives/simple/gbby-45g007/thumbnail.jpg,/img/derivatives/simple/gbby-45g007/fullwidth.jpg
gbby-45g008,7,gbby-45g008.jpg,GBBY 45G/008: George Caldwell: Football Player - c1932-1934,1932-1934,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g008.jpg,/img/derivatives/simple/gbby-45g008/thumbnail.jpg,/img/derivatives/simple/gbby-45g008/fullwidth.jpg
gbby-45g009,8,gbby-45g009.jpg,GBBY 45G/009: Fred Carideo: Football Player - c1933-1935,1933-1935,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g009.jpg,/img/derivatives/simple/gbby-45g009/thumbnail.jpg,/img/derivatives/simple/gbby-45g009/fullwidth.jpg
gbby-45g010,9,gbby-45g010.jpg,"GBBY 45G/010: August (Augie, Sonny) Church: Football Player - c1934-1935",1934-1935,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g010.jpg,/img/derivatives/simple/gbby-45g010/thumbnail.jpg,/img/derivatives/simple/gbby-45g010/fullwidth.jpg
gbby-45g011,10,gbby-45g011.jpg,"GBBY 45G/011: August (Augie, Sonny) Church: Football Player - c1934-1935",1934-1935,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g011.jpg,/img/derivatives/simple/gbby-45g011/thumbnail.jpg,/img/derivatives/simple/gbby-45g011/fullwidth.jpg
gbby-45g012,11,gbby-45g012.jpg,GBBY 45G/012: Ward (Doc) Connell: Football Player - c1922-1924,1922-1924,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g012.jpg,/img/derivatives/simple/gbby-45g012/thumbnail.jpg,/img/derivatives/simple/gbby-45g012/fullwidth.jpg
gbby-45g013,12,gbby-45g013.jpg,GBBY 45G/013: Albert Costello: Football Player - c1932-1934,1932-1934,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g013.jpg,/img/derivatives/simple/gbby-45g013/thumbnail.jpg,/img/derivatives/simple/gbby-45g013/fullwidth.jpg
gbby-45g014,13,gbby-45g014.jpg,GBBY 45G/014: Albert Costello: Football Player - c1932-1934,1932-1934,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g014.jpg,/img/derivatives/simple/gbby-45g014/thumbnail.jpg,/img/derivatives/simple/gbby-45g014/fullwidth.jpg
gbby-45g015,14,gbby-45g015.jpg,GBBY 45G/015: Albert Costello: Football Player - c1932-1934,1932-1934,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g015.jpg,/img/derivatives/simple/gbby-45g015/thumbnail.jpg,/img/derivatives/simple/gbby-45g015/fullwidth.jpg
gbby-45g016,15,gbby-45g016.jpg,GBBY 45G/016: Irwin Davis: Football Player - c1933-1934,1933-1934,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g016.jpg,/img/derivatives/simple/gbby-45g016/thumbnail.jpg,/img/derivatives/simple/gbby-45g016/fullwidth.jpg
gbby-45g017,16,gbby-45g017.jpg,GBBY 45G/017: Rex Enright: Football Player - c1923-1925,1923-1925,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g017.jpg,/img/derivatives/simple/gbby-45g017/thumbnail.jpg,/img/derivatives/simple/gbby-45g017/fullwidth.jpg
gbby-45g018,17,gbby-45g018.jpg,GBBY 45G/018: Donald Elser: Football Player - c1933-1935,1933-1935,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g018.jpg,/img/derivatives/simple/gbby-45g018/thumbnail.jpg,/img/derivatives/simple/gbby-45g018/fullwidth.jpg
gbby-45g019,18,gbby-45g019.jpg,GBBY 45G/019: Donald Elser: Football Player - c1933-1935,1933-1935,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g019.jpg,/img/derivatives/simple/gbby-45g019/thumbnail.jpg,/img/derivatives/simple/gbby-45g019/fullwidth.jpg
gbby-45g020,19,gbby-45g020.jpg,GBBY 45G/020: Christy Flanagan: Football Player - c1925-1927,1925-1927,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g020.jpg,/img/derivatives/simple/gbby-45g020/thumbnail.jpg,/img/derivatives/simple/gbby-45g020/fullwidth.jpg
gbby-45g020a,20,gbby-45g020a.jpg,GBBY 45G/020a: Wallace (Wally) Fromhart: Football Player - c1933-1935,1933-1935,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g020a.jpg,/img/derivatives/simple/gbby-45g020a/thumbnail.jpg,/img/derivatives/simple/gbby-45g020a/fullwidth.jpg
gbby-45g021,21,gbby-45g021.jpg,GBBY 45G/021: Frank Gaul: Football Player - c1933-1935,1933-1935,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g021.jpg,/img/derivatives/simple/gbby-45g021/thumbnail.jpg,/img/derivatives/simple/gbby-45g021/fullwidth.jpg
gbby-45g022,22,gbby-45g022.jpg,GBBY 45G/022: Dan Hanley: Football Player - c1930-1934,1930-1934,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g022.jpg,/img/derivatives/simple/gbby-45g022/thumbnail.jpg,/img/derivatives/simple/gbby-45g022/fullwidth.jpg
gbby-45g023,23,gbby-45g023.jpg,GBBY 45G/023: Dan Hanley: Football Player - c1930-1934,1930-1934,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g023.jpg,/img/derivatives/simple/gbby-45g023/thumbnail.jpg,/img/derivatives/simple/gbby-45g023/fullwidth.jpg
gbby-45g024,24,gbby-45g024.jpg,GBBY 45G/024: Frank Hering: Chairman of Stadium Committee - 1927,1927,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g024.jpg,/img/derivatives/simple/gbby-45g024/thumbnail.jpg,/img/derivatives/simple/gbby-45g024/fullwidth.jpg
gbby-45g025,25,gbby-45g025.jpg,GBBY 45G/025: Max Houser: Football Player - c1923-1924,1923-1924,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g025.jpg,/img/derivatives/simple/gbby-45g025/thumbnail.jpg,/img/derivatives/simple/gbby-45g025/fullwidth.jpg
gbby-45g026,26,gbby-45g026.jpg,GBBY 45G/026: Charles (Chuck) Jaskwhich: Football Player - 1931,1931,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g026.jpg,/img/derivatives/simple/gbby-45g026/thumbnail.jpg,/img/derivatives/simple/gbby-45g026/fullwidth.jpg
gbby-45g027,27,gbby-45g027.jpg,GBBY 45G/027: Noble Kizer: Football Player - c1922-1924,1922-1924,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g027.jpg,/img/derivatives/simple/gbby-45g027/thumbnail.jpg,/img/derivatives/simple/gbby-45g027/fullwidth.jpg
gbby-45g028,28,gbby-45g028.jpg,GBBY 45G/028: George Keogan (includes Keogan as Football Coach) - c1920-1930s,1920-1930s,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g028.jpg,/img/derivatives/simple/gbby-45g028/thumbnail.jpg,/img/derivatives/simple/gbby-45g028/fullwidth.jpg
gbby-45g029,29,gbby-45g029.jpg,GBBY 45G/029: George Keogan (includes Keogan as Football Coach) - c1920-1930s,1920-1930s,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g029.jpg,/img/derivatives/simple/gbby-45g029/thumbnail.jpg,/img/derivatives/simple/gbby-45g029/fullwidth.jpg
gbby-45g030,30,gbby-45g030.jpg,GBBY 45G/030: George Keogan (includes Keogan as Football Coach) - c1920-1930s,1920-1930s,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g030.jpg,/img/derivatives/simple/gbby-45g030/thumbnail.jpg,/img/derivatives/simple/gbby-45g030/fullwidth.jpg
gbby-45g031,31,gbby-45g031.jpg,GBBY 45G/031: John Lautar: Football Player - c1934-1936,1934-1936,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g031.jpg,/img/derivatives/simple/gbby-45g031/thumbnail.jpg,/img/derivatives/simple/gbby-45g031/fullwidth.jpg
gbby-45g032,32,gbby-45g032.jpg,GBBY 45G/032: John Lautar: Football Player - c1934-1936,1934-1936,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g032.jpg,/img/derivatives/simple/gbby-45g032/thumbnail.jpg,/img/derivatives/simple/gbby-45g032/fullwidth.jpg
gbby-45g033,33,gbby-45g033.jpg,GBBY 45G/033: Football Coach Elmer Layden at Press Conference - 1934,1934,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g033.jpg,/img/derivatives/simple/gbby-45g033/thumbnail.jpg,/img/derivatives/simple/gbby-45g033/fullwidth.jpg
gbby-45g034,34,gbby-45g034.jpg,GBBY 45G/034: Football Coach Elmer Layden at Press Conference - 1934,1934,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g034.jpg,/img/derivatives/simple/gbby-45g034/thumbnail.jpg,/img/derivatives/simple/gbby-45g034/fullwidth.jpg
gbby-45g035,35,gbby-45g035.jpg,GBBY 45G/035: Football Coach Elmer Layden on Sidelines - Bench - c1934-1940,1934-1940,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g035.jpg,/img/derivatives/simple/gbby-45g035/thumbnail.jpg,/img/derivatives/simple/gbby-45g035/fullwidth.jpg
gbby-45g036,36,gbby-45g036.jpg,GBBY 45G/036: Francis Louis (Mike) Layden: Football Player - c1933-1935,1933-1935,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g036.jpg,/img/derivatives/simple/gbby-45g036/thumbnail.jpg,/img/derivatives/simple/gbby-45g036/fullwidth.jpg
gbby-45g037,37,gbby-45g037.jpg,GBBY 45G/037: Francis Louis (Mike) Layden: Football Player - c1933-1935,1933-1935,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g037.jpg,/img/derivatives/simple/gbby-45g037/thumbnail.jpg,/img/derivatives/simple/gbby-45g037/fullwidth.jpg
gbby-45g038,38,gbby-45g038.jpg,GBBY 45G/038: Francis Louis (Mike) Layden: Football Player - c1933-1935,1933-1935,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g038.jpg,/img/derivatives/simple/gbby-45g038/thumbnail.jpg,/img/derivatives/simple/gbby-45g038/fullwidth.jpg
gbby-45g039,39,gbby-45g039.jpg,GBBY 45G/039: Francis Louis (Mike) Layden: Football Player - c1933-1935,1933-1935,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g039.jpg,/img/derivatives/simple/gbby-45g039/thumbnail.jpg,/img/derivatives/simple/gbby-45g039/fullwidth.jpg
gbby-45g040,40,gbby-45g040.jpg,GBBY 45G/040: Francis Louis (Mike) Layden: Football Player - c1933-1935,1933-1935,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g040.jpg,/img/derivatives/simple/gbby-45g040/thumbnail.jpg,/img/derivatives/simple/gbby-45g040/fullwidth.jpg
gbby-45g041,41,gbby-45g041.jpg,GBBY 45G/041: Bernie Livergood: Football Player - c1922-1924,1922-1924,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g041.jpg,/img/derivatives/simple/gbby-45g041/thumbnail.jpg,/img/derivatives/simple/gbby-45g041/fullwidth.jpg
gbby-45g042,42,gbby-45g042.jpg,GBBY 45G/042: Bernie Livergood: Football Player - c1922-1924,1922-1924,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g042.jpg,/img/derivatives/simple/gbby-45g042/thumbnail.jpg,/img/derivatives/simple/gbby-45g042/fullwidth.jpg
gbby-45g043,43,gbby-45g043.jpg,GBBY 45G/043: Bernie Livergood: Football Player - c1922-1924,1922-1924,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g043.jpg,/img/derivatives/simple/gbby-45g043/thumbnail.jpg,/img/derivatives/simple/gbby-45g043/fullwidth.jpg
gbby-45g044,44,gbby-45g044.jpg,GBBY 45G/044: Willie (Red) Maher: Football Player - c1921-1923,1921-1923,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g044.jpg,/img/derivatives/simple/gbby-45g044/thumbnail.jpg,/img/derivatives/simple/gbby-45g044/fullwidth.jpg
